Company Name,Experience With SBIR Program
"ZEL TECHNOLOGIES, L.L.C.",8
"NBN TECHNOLOGIES, LLC",8
"NUVERA BIOSCIENCES, INC.",8
"NANO-C, INC",8
Arkham Technology Limited,8
"Nektonics, Inc.",8
NOVI LLC,8
"NOVATIO Engineering, Inc",8
"NEMAMETRIX, INC",8
PANVERA CORPORATION,8
"PARABON COMPUTATION, INC.",8
"VIRGINIA MILLIMETER WAVE, INC.",8
"Arrevus, Inc.",8
"Nova Phase, Inc.",8
Molecule Works Incorporated,8
NEODYNETICS CORPORATION,8
Berkeley Microinstruments,8
Proteins International Inc,8
"Ressler Associates, Inc.",8
ARIZONA INSTITUTE FOR BIO-MEDICAL RES,8
Npi,8
Zetroz Systems LLC,8
"Voxel Innovations, Inc.",8
"Photon Sciences, Incorporated",8
AREA DETECTOR SYSTEMS CORPORATION,8
Advent Innovations Ltd. Co.,8
"Pragati Synergetic Research, Inc.",8
"ALPHA SCENTS, INC.",8
WINDERMERE INFORMATION TECHNOLOGY SYSTEM,8
"Argos Intelligence, LLC",8
VORBECK MATERIALS CORP.,8
"Accipiter Systems, Inc",8
QEDLabs,8
"RETHER NETWORKS, INC.",8
Accelereyes LLC,8
"ARIMA GENOMICS, INC.",8
"ACCEL DIAGNOSTICS, LLC",8
POLYMERPLUS LLC ,8
"Radiation Safety Engineering, Inc.",8
Orthologic Corp.,8
"ADIPOGENIX, INC.",8
"Apex Biomedical Company, LLC",8
"optX imaging systems, LLC",8
"ADVANCED MAGNETICS, INC.",8
"ONMATERIALS, LLC",8
"PLASTIPURE, INC",8
Amydis Diagnostics Inc. ,8
Advanced Materials and Processes,8
"BEHAVIORAL DIAGNOSTICS, INC.",8
Wavefront Vision Inc,8
"YAUPON THERAPEUTICS, INC.",8
WAVE COMPUTATION TECHNOLOGIES INC,8
"Raya Systems, Inc.",8
"Adler Consultants, Inc.",8
Pls International,8
"ONCOIMMUNE, LTD",8
"RAPT Industries, Inc.",8
Advanced Avionics Incorporated,8
"OPTOSONICS, INC.",8
"PinMed, Inc.",8
"Angstrom Medica, Inc.",8
"XW, LLC dba Xtendwave",8
"ANHOLT TECHNOLOGIES, INC.",8
"BEAR TECHNOLOGIES, LLC",8
NanoMaterials Company,8
Rannoch Corporation,8
OPNET TECHNOLOGIES,8
ADVANCED BIONICS CORPORATION,8
Advanced Communication,8
"Purilogics, LLC",8
"OPENCELL TECHNOLOGIES, INC.",8
"PURESYN, INC.",8
"ADVANCED CERAMIC FIBERS, L.L.C.",8
OPTODOT CORPORATION,8
"BIOLIFE SOLUTIONS, INC.",8
ADVANCED OPTICAL TECHNOLOGIES INCORPORATED,8
PSYCH PRODUCTS PRESS,8
"Advanced Photodynamic Technologies, Inc.",8
POINTWISE INC,8
Physical Domains,8
Re/Spec Inc.,8
VIEWPOINT MOLECULAR TARGETING INC,8
Polarix Corporation ,8
BIODISCOVERY LLC,8
"POLIUM TECHNOLOGIES, INC.",8
"American Innovision, Inc.",8
Applied Quantum Technologies,8
APPLIED RESOURCES CORPORATION,8
Adaptive Cognitive Systems,8
Wang Nmr Inc.,8
"ORION International Technologies, Inc.",8
"BANYAN BIOMARKERS, INC.",8
Polymer Aging Concepts Inc,8
"ADCOM SYSTEMS TECHNOLOGY,INC.",8
"Omega International Technology, Inc.",8
POINT RESEARCH CORP.,8
VideoMining Corporation,8
"Omniguide Communications, Inc.",8
"ADEPTHERA, LLC",8
"ADVANCED PHOTONIC CRYSTALS, LLC",8
Amphionic LLC,8
"Orbit Fab, Inc.",8
"Pnp Innovations, Inc.",8
BIOELECTROMED CORPORATION,8
APPLIED OPTRONICS CORP,8
"MRPATH, INC.",8
"omega-p r&amp;amp;amp;d, Inc.",8
Vidrovr Inc.,8
APPLIED NOVEL DEVICES INC,8
"RDAS, INC.",8
Mosaic Microsystems LLC,8
"Parametric Studio, Inc.",8
Riverside Technologies Inc.,8
"BIOGRAPHICS, INC.",8
Aerovel Corporation,8
AFFERENT CORPORATION,8
"Avilution, LLC",8
"BIO LOGIC ENGINEERING, INC.",8
"ALCES Technology, Inc.",8
"NEVA RIDGE TECHNOLOGIES, INC.",8
Nico Technologies Corp.,8
"3c Systems, Inc.",8
"PASADERO, INC.",8
"ATACTIC TECHNOLOGIES, INC.",8
Princeton Technology Advisers Company Inc.,8
"PARTTEC, LTD.",8
NIMBIS SERVICES INC,8
"Vitae, LLC",8
"QUANTUM INTELLIGENCE, INC.",8
"PHASE GENOMICS, INC.",8
Parts Life Inc. ,8
Vision Micro Design Inc,8
"VITAL PROBES, INC.",8
"BIOPTIX DIAGNOSTICS, INC.",8
"Agility Communications, Inc.",8
"RESOLUTE MARINE ENERGY, INC.",8
"Partnerships Limited, Inc.",8
RENAISSANCE SCIENCES CORPORATION,8
Zymogenetics Inc,8
"23ANDME, INC.",8
NEW EAGLE CONSULTING LLC,8
Peerless Technologies Corporation,8
Albido Corporation,8
"ZYGOGEN, LLC",8
"VISTA SCIENTIFIC, LLC",8
Bioscience Development Inc,8
ATOM INC,8
"MYOGEN, INC.",8
Neumedicines Inc.,8
"MYRIAD SENSORS, INC. ",8
"MYSELFHELP.COM, INC.",8
4 D Technology Corporation,8
"PDX PHARMACEUTICALS, INC.",8
"Nexolve Holding Company, LLC",8
"Resonance Research, Inc.",8
PERSYST DEVELOPMENT CORPORATION,8
"NGIMAT, LLC",8
PRO-TECH,8
PRO-ED,8
"Woodruff Scientific, Inc.",8
BIOSENSING INSTRUMENT INC,8
Munro and Associates,8
"VISUAL AWARENESS, INC.",8
Xallent LLC,8
VAWD APPLIED SCIENCE &amp; TECHNOLOGY CORPORATION,8
"MOLECULAR DYNAMICS, INC.",8
Visual Editor Consultants,8
"4S - SILVERSWORD SOFTWARE AND SERVICES, LLC",8
"Nesch, LLC",8
"PRINCETON POWER SYSTEMS, INC.",8
BIOPOWERTECH,8
ARZEDA Corp.,8
"Quantitative Biosciences, Inc.",8
BioSpace International,8
"Aerobotix, Inc.",8
"ASL Analytical, Inc.",8
ZYVEX Corporation,8
Prescient Weather Ltd,8
"Quick-Med Technologies, Inc.",8
VIRONIKA LLC,8
Multiplex Inc.,8
VIVID TECHNOLOGIES INC,8
PERL RESEARCH LLC,8
X-Therma Inc.,8
"NEUROBEHAVIORAL SYSTEMS, INC.",8
Virogenomics BioDevelopment Inc,8
Quan-scan Inc.,8
ALGAEN CORPORATION,8
"AIMS, INC.",8
"AgResearch International, Inc.",8
PARASOFT CORPORATION,8
Phifer Smith Corporation,8
"PHILOMETRON, INC.",8
"Phoenicia Biosciences, Inc.",8
"MOLECULAR STAGING, INC.",8
Agouron Pharmaceuticals Inc.,8
"Immunogen, Inc",7
AMPEERS LLC,7
"Diagnologix, LLC",7
CASDE CORP.,7
OPTIMUS Corporation,7
"TARGETED GENE DELIVERY, INC.",7
OPTINAV INC,7
NANOHYBRIDS INC,7
"Tenet 3, LLC",7
ELDER RESEARCH INC,7
"INTELLITOOLS,INC.",7
"Solid State Ceramics, Inc.",7
"PAXVAX, INC.",7
"Eigent Technologies, Inc.",7
"Tasso, Inc",7
Pbl Biomedical Laboratories,7
"Introgen Therapeutics, Inc.",7
AGRICULTURAL RESEARCH INITIATIVES INC,7
"Perfusion Solutions, Inc.",7
DigitalSpace Corporation,7
"Amonix, Inc.",7
"Viatec Research, Llc",7
"DIGITAL RECEIVER TECHNOLOGY, INC.",7
"Ramona Optics, Inc.",7
"Pcp, Inc.",7
BGI LLC,7
INTRAMICRON INC,7
"Digital Artforms, Inc.",7
"Bearsden Bio, Inc.",7
"OPTIMER PHARMACEUTICALS, INC.",7
"INTERCAX, LLC",7
Saraniasat Inc.,7
Tepha Inc.,7
"Elementum 3D, Inc.",7
"SANTECH, INC.",7
"Imaginab, Inc.",7
International Software,7
DFUZION INC,7
"TERPENOID THERAPEUTICS, INC.",7
"AMULET PHARMACEUTICALS, INC.",7
IMLACH CONSULTING ENGINEERING,7
TERASYS TECHNOLOGIES LLC,7
Interconnect Technologies,7
"INTERNATIONAL PHOTONICS CONSULTANTS, INC",7
CARPENTER RESEARCH CORP.,7
Med-e-cell,7
Imet Corp.,7
"ElectroMagnetic Applications, Inc.",7
"IMITEC, INC",7
International Biomedics Inc,7
"Diatech, Inc.",7
SIOUX MANUFACTURING CORPORATION,7
Carnegie Robotics LLC,7
IMAGE MATTERS LLC,7
"Quantum Photonics, Inc.",7
"ILLUMIGEN BIOSCIENCES, INC.",7
"RAINBOW COMMUNICATIONS, INC.",7
NANOMATERIAL INNOVATION LTD,7
Digene,7
"Via Therapeutics, LLC",7
"Interface Technologies, LLC",7
"TAMBO, INC.",7
Cascade Designs,7
"Analytical Spectral Devices,",7
"Perduco Group, Inc., The",7
AIRFLOW SCIENCES CORPORATION,7
"Viaforensics, LLC",7
Developmental Technologies,7
"Analytical Diagnostics Solutions, Inc",7
"MEDICAL DECISION MODELING, INC.",7
"Soane Biosciences, Inc.",7
"MYOMICS, INC.",7
MCGAW TECHNOLOGY INC,7
PACKET DIGITAL LLC,7
"INNOVATIVE ENGINEERING SOLUTIONS, INC.",7
"Bernier &amp; Assoc., Inc.",7
DYNALENE INC.,7
Smart Polymers Research Corporation,7
"WINDMILL CARDIOVASCULAR SYSTEMS, INC.",7
Quick Reaction Corporation,7
"CAMBRIDGE ENVIRONMENTAL, INC.",7
Saltire Software Inc,7
Information Research,7
INNOVATIVE SCIENCE &amp; TECHNOLOGY,7
Beta Hatch Inc.,7
"ECHO BRIDGE PRODUCTIONS, INC.",7
"Innovative Technology, Inc",7
"Alphamicron, Inc.",7
ECI BIOTECH,7
Duffy Engineering,7
"N2 Biomedical, LLC ",7
"Softinway, Inc.",7
Vertex Pharmaceuticals Inc.,7
"MEDROS, INC.",7
"RADANT MEMS, INC.",7
Parke Mathematical,7
"Berner, Lanphier &amp; Assoc Inc.",7
"Alexion Pharmaceuticals, Inc.",7
"INNOVATIVE ELEMENTS, LLC",7
EAGLE VISION PHARMACEUTICAL CORPORATION,7
CAMGIAN MICROSYSTEMS CORP,7
"EAGLE RESEARCH AND DEVELOPMENT, LLC",7
"QUIMBA SOFTWARE, INC.",7
"Earthly Dynamics, LLC",7
"Snake Creek Lasers, LLC",7
"Parallel Consulting, LLC",7
Cancer Targeted Technology LLC,7
"PARASIM, INC.",7
"Techno View, Inc.",7
"Qunnect, Inc.",7
E-Speech Corporation,7
"PARADIGM OPTICS, INCORPORATED",7
"SCR, INC.",7
"Panomics, Inc.",7
"Ultrasonic Technologies, Inc. ",7
Qynergy Corporation,7
"Pancopia, Inc.",7
Ribbon Technology Corpon,7
"ALLOSTEROS THERAPEUTICS, INC.",7
PAGEFLIP,7
Technolube Products Co,7
PARTOW Technologies LLC,7
Oregon Soil Corporation,7
"Belford Research, Inc.",7
Osborne A Assocs Inc,7
INDIANA INTEGRATED CIRCUITS LLC,7
MedicaSafe Inc ,7
Integrity Applications Incorporated,7
"CARDIOENERGETICS, INC.",7
"Sober Grid, Inc.",7
"Alacron, Inc.",7
ORTHOGEN LLC,7
American Ecotech L.C.,7
Edward Buiel Consulting,7
"SOLARNO, INC",7
"RHO FEDERAL SYSTEMS DIVISION, INC.",7
"ALA SCIENTIFIC INSTRUMENTS, INC.",7
IMQUEST BIOSCIENCES,7
"Intelligent Automation Systems, Inc.",7
"Merril Corporation of Utah, dba MSI Photogenics",7
"AMERICAN LIFE SCIENCE PHARMACEUTICALS, INC.",7
"MEDICAL IMAGING APPLICATIONS, LLC",7
"EGEA BIOSCIENCES, INC.",7
"WETSTONE TECHNOLOGIES, INC.",7
TAU SCIENCE CORPORATION,7
"RADIX PHARMACEUTICALS, INC.",7
VETH RESEARCH ASSOCIATES LLC,7
"Sanguine Diagnostics And Therapeutics, Inc.",7
"OSMIC ENTERPRISES, INC.",7
"INDIANA TOOL &amp; MFG. CO., INC.",7
"ALTASIM TECHNOLOGIES, LLC",7
Altea Therapeutics Corporation,7
NANOAFFIX SCIENCE LLC,7
NANOAL LLC,7
TECHNOVATIVE APPLICATIONS,7
VESTICON,7
"EcoArray, Inc.",7
"ECOCHEM RESEARCH, INC.",7
"TEGA THERAPEUTICS, INC.",7
ECOSIL TECHNOLOGIES LLC,7
"Dot Metrics Technologies, Inc.",7
INFINERA CORP.,7
AMBALUX CORP.,7
Skw Corp,7
Donmar Ltd,7
Integrated Chemical Sensors,7
INDUSTRIAL MICROBES INC,7
"ALBANY MOLECULAR RESEARCH, INC.",7
"Edgewater Technology Associates, Inc.",7
"UNandUP, LLC",7
Skion Corp.,7
"INCOGEN, INC.",7
Silicon Kidney,7
"TESLA TECHNOLOGIES, INC.",7
Lehrer-pearson Inc.,7
LASERLITH CORP.,7
LASMED LTD LIABILITY CORP,7
Sensant Corp,7
"CHARMWORKS, INC.",7
North American Geotechnical Company,7
Axiom Technology,7
"LBI, Inc.",7
"Nonlinear Control Strategies, Inc.",7
"TK ENGINEERING ASSOC., INC.",7
SENECIO SOFTWARE INC,7
Learning in Motion,7
"CHELATECH, INC.",7
"Lec Tech, Inc.",7
"COMPOSITEX, INC.",7
"LaserGen, Inc.",7
Lenzner Research LLC ,7
Vitan-Biotech LLC,7
"ASTRAEA THERAPEUTICS, LLC",7
Astro Technology Inc.,7
Nion Co,7
RENEGADE MATERIALS CORPORATION,7
Lidak Pharmaceuticals,7
Nimble Computer Corp.,7
"AT SCIENCES, LLC",7
Combinati Incorporated,7
"Columbus Nanoworks, Inc.",7
ChemImage Corporation,7
Athena Neurosciences Inc.,7
"Neos Technolgies, Inc.",7
"CONDAX, LLC",7
Nu-tech Industries Inc,7
Laguna Research Laboratory,7
"Kryptowire, LLC",7
"Nectagen, Inc. ",7
Novoreach Technologies LLC ,7
Kubota Research Associates,7
"Novomer, Inc.",7
"Novomedix, LLC",7
"Results Group, LLC",7
"THREE-DIMENSIONAL PHARMACEUTICALS, INC.",7
"L.VAD TECHNOLOGY, INC.",7
VOC Technologies,7
Controlex Corporation,7
"REHABILITATION TECHNOLOGY, INC.",7
"Sensor Plus, Inc.",7
"Tienzyme, Inc.",7
"ASCA, INC.",7
"NOTCH, INC.",7
"SENSONICS, INC.",7
"SensoDX II, LLC",7
NOTA Laboratories LLC ,7
Trimeric Corp,7
"Language Analysis Systems, Inc.",7
"REINHART &amp; ASSOC., INC.",7
"LANGUAGE SYSTEMS, INC.",7
REJUVENATE BIO INC,7
Lasen Inc,7
NeoMecs Inc.,7
"CHANTEST, INC.",7
Viro Dynamics,7
"LIGHTNING TECHNOLOGIES, INC.",7
"Visual Semantics, Inc.",7
"Network Sensing Technologies, LLC",7
"Neuronexus Technologies, Inc.",7
"Augmntr, Inc.",7
CLOUD CAP TECHNOLOGY,7
Clonetics Corp.,7
"CLINICIAN SUPPORT TECHNOLOGY, INC.",7
"CHIMERIC TECHNOLOGIES, INC.",7
"VISION TECHNOLOGY, INC.",7
"Sealite Sciences, Inc.",7
AvidBiotics Corp.,7
"Clear Hat Consulting, Inc. ",7
"AVID RADIOPHARMACEUTICALS, INC.",7
"SeaFire Micros, Inc.",7
"Claytec, Inc.",7
RESEARCH NETWORK INC,7
"Chromatofast, Inc.",7
Athens Research And Technology,7
"Cityflag, Inc.",7
RESEARCH TRAINING ASSOCIATES,7
"M. TECHNOLOGIES, INC.",7
"VIRTUAL SIMULATION &amp; TRAINING, INC.",7
Scribner Associates Incorporated,7
M-C Power Corporation,7
"CIMARRON SOFTWARE, INC.",7
"LW Microsystem, Inc.",7
"RESILIENT GAMES STUDIO, LLC",7
"Avcon, Inc.",7
NeuroDx Development LLC,7
"Lynguent, Inc.",7
"AVATAR DESIGN AND DEVELOPMENT, INC.",7
New Horizons Diagnostics,7
"Transcend Engineering and Technology, LLC",7
"LM Group Holdings, Inc.",7
Seaver Engineering,7
"Lignamed, LLC",7
"SEEMANN COMPOSITES, INC.",7
RENUVIX LLC,7
"Scientific Toolworks, Inc.",7
"Coherent Applications, Inc.",7
SEED INNOVATIONS LLC,7
"LINGUAGEN CORPORATION, INC.",7
"SCIGENESIS, LLC",7
"Cognitive Radio Technologies, LLC",7
"Sedna Digital Solutions, LLC",7
Cognia Corporation,7
Lipid Specialties Inc,7
"LIPITEK INTERNATIONAL, INC.",7
"RESONANT MICROSYSTEMS, INC.",7
"TRACKING &amp; IMAGING SYSTEMS, INC.",7
TRIA BIOSCIENCE CORP. ,7
CODEX BIOSOLUTIONS,7
"AVISYS, INC.",7
NexGen Composites LLC,7
"Liteweaver Technologies, Inc.",7
"Cocensys, Inc.",7
"Cobra Design &amp; Engineering, Inc",7
NewTek,7
Ljf Corp,7
"LKC TECHNOLOGIES, INC.",7
"VISOTEK, INC.",7
"Chicago Biosolutions, Inc. ",7
"REDWOOD SCIENTIFIC, INC.",7
NearSpace Launch Inc.,7
INTUITIVE RESEARCH &amp; TECHNOLOGY CORP.,7
"Matrix Center, Inc.",7
"Bayspec, Inc.",7
"Dba Systems, Inc.",7
MAX MOBILITY,7
"Max Biopharma, Inc.",7
"DAWKINS PRODUCTIONS, INC.",7
IST-Rolla,7
Data Research &amp; Analysis Corp.,7
"THE HALEAKALA RESEARCH &amp; DEVELOPMENT, INC.",7
DAST,7
Onai Inc.,7
The Insitu Group,7
RF Nano Corporation,7
"Applied Energetics, Inc.",7
Signatron Acquisition Corp,7
"One-cycle Control, Inc",7
"Embedded Research Solutions, LLC",7
Jackson and Tull,7
"Jadoo Power Systems, Inc.",7
"DAIRILEAN, INC.",7
Daina,7
"OMNI SCIENCES, INC.",7
"Omni Measurement Systems, Inc. ",7
OMNI FED LLC,7
"Jan Biotech, Inc.",7
D.N. AMERICAN,7
"WASATCH PHOTONICS, INC.",7
SIGMA K CORP,7
"NanoValent Pharmaceuticals, Inc.",7
"dbaza, inc",7
"ONEVAX, LLC ",7
REDSTONE AEROSPACE CORP.,7
"OPHIDIAN PHARMACEUTICALS, INC.",7
"BEAMTEK, INC.",7
"SIMPHOTEK, INC.",7
"Demeton Technologies, Inc.",7
INVENUX LLC,7
Ramsearch Co,7
Inview Technology Corporation ,7
"Tetra Discovery Partners, Inc.",7
"Invitro Technologies, Inc.",7
"OPTICAL DEVICES, INC.",7
"Nanomix, Inc.",7
VIBRATESS,7
"DEGGE GROUP, LTD.",7
"DEFENSE TECHNOLOGIES, INC.",7
"OPERATIVE EXPERIENCE, INC.",7
"DCM Research Resources, LLC",7
"Anver Bioscience Design, Inc.",7
"Operant Networks, Incorporated",7
Ionic Atlanta Inc,7
Cbana Laboratories,7
"Deep Ocean Engineering, Inc.",7
Apd Cryogenics Inc.,7
"Op-T-Mune, Inc",7
"Turnkey Design Services, LLC",7
"SIMBA Chain, Inc.",7
"BCR DIAGNOSTICS, INC.",7
MAXIM SYSTEMS,7
"RARE EARTH MEDICAL, INC.",7
"IRDT Solutions, Inc",7
"CYTOSKELETON, INC",7
OMBRA LLC,7
"CYTOGRAFT TISSUE ENGINEERING, INC.",7
"KINEMED, INC.",7
W.Brandt Goldsworthy &amp; As,7
W-Z Biotech LLC,7
AQUALUNG THERAPEUTICS CORP.,7
"REBISCAN, Inc.",7
"OBSERVERA, INC.",7
Aquatic Farms,7
"OASYS TECHNOLOGY, LLC.",7
"CROWN CONSULTING, INC.",7
KERAMED,7
Aradigm Corporation,7
CEPHEID,7
"Arbor Photonics, Inc.",7
"Keystone Tower Systems, Inc.",7
"ARCCA, INC.",7
OMAX CORP.,7
Trlokom,7
KION defense Technologies Inc,7
VIOSENSE CORP.,7
"Cox &amp; Company, Inc.",7
"Cerebral Developments, Inc.",7
ARENA PESTICIDE MANAGEMENT,7
"NUONICS, INC.",7
"Covar Applied Technologies, Inc.",7
Covalent LLC ,7
"COULTER ASSOCIATES, INC.",7
"ARGO NAVIS TECHNOLOGIES, LLC",7
CERES NANOSCIENCES,7
Koford Engineering,7
Center for Resource Management,7
"OCELLUS, INC.",7
OCT Medical Imaging Inc,7
"Kaney Aerospace, Inc.",7
"CYTODESIGN, INC.",7
"CYTOBANK, INC.",7
NASCENT TECHNOLOGY CORP.,7
Materials Engineering &amp;,7
RE3D Inc.,7
"CYRANO SCIENCES, INC.",7
Trymer Company,7
"MATERIALS ANALYSIS, INC.",7
TRUVENTIC LLC,7
Johnson Engineering,7
"SibellOptics, LLC",7
Native American Botanics Corporation,7
"SI GOVERNMENT SOLUTIONS, INC.",7
"REACTIVE METALS INTERNATIONAL, INC.",7
"OHRN ENTERPRISES, INC.",7
Schellenberg Assoc,7
"CELSENSE, INC.",7
OGDEN ENGINEERING &amp; ASSOCIATES LLC,7
"JULIA GROUP, THE",7
Cyber Materials LLC,7
"CYBER DEFENSE AGENCY, LLC",7
"JUVARIS BIOTHERAPEUTICS, INC.",7
"Applied Universal Dynamics, Corp.",7
ODYSSEY SPACE RESEARCH L L C,7
"Shepra, Inc.",7
"K2T, Inc.",7
Octagen Corporation,7
TALOSTECH LLC,7
SMD Corporation,7
"AVATAR MEDICAL, LLC",7
"STEMCELLS, INC.",7
ABN,7
Form Fit and Function LLC ,7
"Gigajot Technology, Inc.",7
"STEMINA BIOMARKER DISCOVERY, INC",7
Pi Medical Corp.,7
GhostWave Inc.,7
"EPICYTE PHARMACEUTICAL, INC.",7
SUNNY BIODISCOVERY INC.,7
"Bioengineering Resources, Inc.",7
Microgenesys Inc.,7
"PHYSICS INNOVATIONS, INC.",7
ROBUST CHIP INC.,7
Bright Cloud International Corp,7
"GEOVAX, INC.",7
Microexpert Systems Inc,7
"ADVANCED PROCESSING TECHNOLOGY, INC.",7
SUNDANZER DEVELOPMENT INCORPORATED,7
"Zirchrom Separations, Inc.",7
"EOIR Technologies, Inc.",7
EQUAL ACCESS TO SCIENTIFIC EXCELLENCE,7
"VDG, INC.",7
"HERMAN ADVANCED ENGINEERING, INC.",7
"Abraxis, Inc.",7
"ADVANCED FLUIDICS, LLC",7
"BrainXell, Inc",7
Espace Inc ,7
"Branch Technology, Inc.",7
Molyworks Materials Corporation,7
"ADVANCED GENETIC SYSTEMS, INC.",7
"FOAM MATRIX, INC.",7
"MolySym, Inc.",7
"AC MATERIALS, INC.",7
ESEA,7
"Brandywine Photonics, LLC",7
"PYRODYNE, INC.",7
ESCAPE COMMUNICATIONS INC,7
"Esc Aerospace US, Inc",7
"HEXAGON INTERACTIVE, INC.",7
"BRAYTON ENERGY, LLC",7
"HF Designworks, Inc",7
Abs Materials Inc.,7
"Hi-Test Laboratories, Inc",7
PROTEIN SCIENCES CORPORATION,7
"Blasch Precision Ceramics, Inc.",7
"SUNBURST SENSORS, LLC",7
"Abacus Controls, Inc.",7
Brock Roberts,7
"Entremed, Inc.",7
"ENTERPRISE INTEGRATION, INC.",7
"GENOMICS USA, INC.",7
"BIOPULPING INTERNATIONAL, INC.",7
EnSolve,7
7 Hills Pharma LLC,7
6K INC,7
BROOKSIDE RESEARCH &amp; DEVELOPMENT COMPANY,7
"GENOME DATA SYSTEMS, INC.",7
"GENOMAS, INC.",7
University Medical Associates,7
"Genitrix, LLC",7
"XHALE, INC.",7
HPS Simulations,7
"STITechnologies, Inc.",7
AECHELON TECHNOLOGY,7
S.A.F.E R&amp;D,7
"Space Information Laboratories, LLC",7
Hoover Keith &amp; Bruce Inc,7
Entropic Res Laboratory Inc.,7
"S&amp;K Electronics, Inc.",7
"Molecular Simulations, Inc.",7
Prevision Inc,7
SUN NUCLEAR CORP.,7
MICROCONNEX CORP.,7
"STERN MAGNETICS, LLC.",7
RyTek Medical Inc,7
Phycal LLC,7
ADVANCED RNA TECHNOLOGIES LLC,7
"ENVIRONMENTAL ROBOTS, INC.",7
"PHOTOSWITCH BIOSCIENCES, INC.",7
"Stewart, James ",7
SUMMIT RESEARCH CORP.,7
Genzyme Corp.,7
Environmental Metrology Corporation,7
"Syscom Technology, Inc.",7
"Holoptic, LLC",7
"ZIVKO AERONAUTICS, INC.",7
PRIMORDIAL GENETICS Inc.,7
"ADVANCED TISSUE SCIENCES, INC.",7
Robotronics Inc.,7
Accel Catalysis Inc.,7
"GENETRACE SYSTEMS, INC.",7
"FABMETRIX, INCORPORATED",7
FAAC INCORPORATED,7
"Pulmokine, Inc.",7
"POCKETSONICS, INC.",7
SYMBIOS TECHNOLOGIES INC.,7
Harmonic Devices Inc.,7
Fibralign Corporation,7
RPX TECHNOLOGIES INC,7
Harris Acoustic Products Corporation,7
EYEGAZE INC,7
"PULMOTECT, INC",7
"US POSITIONING GROUP, LLC",7
"ZATA PHARMACEUTICALS, INC.",7
Adian Engineering Corp.,7
"Great Lakes Crystal Technologies, Inc.",7
BIOLINK LIFE SCIENCES INC,7
"HAZEN RESEARCH, INC.",7
"ZC&amp;H DYNAMIC SYSTEMS, INC.",7
"Great Eastern Mussel Farms, Inc.",7
"Vector Research Company, Inc.",7
"US Teach, Inc.",7
"Greensea Systems, Inc.",7
Mpower LLC,7
"POINT DESIGNS, LLC",7
Gt-devices Inc,7
"ACUSOFT, INC.",7
H Quest Vanguard Inc ,7
"Groundmetrics, Inc.",7
ADAPTIVE BIOTECHNOLOGIES CORPORATION,7
"GridBridge, Inc ",7
Susteon Inc.,7
"Milagen, Inc.",7
"Stable Laser Systems, Inc.",7
"POLAR RAIN, INC.",7
"FAKESPACE LABS, INC.",7
SUSTAINABLE BIOPRODUCTS LLC,7
"Biomarine Technologies, Inc.",7
Fairmount Automation Inc.,7
Fairchild Imaging,7
"POTENTIA PHARMACEUTICALS, INC",7
"SPIRIT LAKE CONSULTING, INC.",7
"MOSAIC MATERIALS, INC.",7
"Yinnel Tech, Inc.",7
"Filter Sensing Technologies, Inc.",7
US HYBRID CORPORATION,7
HDT Bio Corp.,7
"Plex Pharmaceuticals, Inc.",7
PROTONEX TECHNOLOGY CORP.,7
"Planet, LLC",7
"SYNERGETIC TECHNOLOGIES, INC.",7
"Acenta Discovery, Inc.",7
"Acelot, Inc.",7
"Eutropics Pharmaceuticals, Inc.",7
PROTOBOX LLC,7
Synergistic Detector Designs,7
"Eukarion, Inc.",7
Advanced Cytometry Instrumentation Systems LLC,7
"PVD Products, Inc.",7
"HEMOCLEANSE, INC.",7
"Gnosys, Inc.",7
"ETHICS RX, LLC",7
"ETHERWARE, LLC",7
RVISION CORPORATION,7
Advanced Energy Dynamics Inc.,7
Spectradyne LLC,7
"Zeta-Tech Associates, Inc.",7
Helipump Corp,7
"Runtime Verification, Inc. ",7
MICROSURFACES INC,7
Advaita Corporation,7
HEALTH MANAGEMENT CONSULTANTS OF VA,7
Adv Countermeasure Sys,7
"Yantric, Inc.",7
BLUEFIN ROBOTICS CORP.,7
"Mountain Optech, Inc.",7
"Exelixis Plant Sciences, Inc.",7
"SPECTRUM SAN DIEGO, INC.",7
SPECTRUM RESEARCH CORP.,7
"FIRST LIGHT BIOSCIENCES, INC.",7
Planetary Resources Development Corporation,7
Bluecom Systems And Consulting LLC,7
PlasmaSol Corporation,7
"ACIONT, INC.",7
"HeartVista, Inc.",7
"MOXTRONICS, INC.",7
GRADIENT TECHNOLOGY,7
Fischer Imaging,7
SPECTRASCAN,7
"ENNETIX, INC.",7
Fein-marquart Associates,7
Energy &amp; Minerals Research,7
"BIOASSAY SYSTEMS, LLC",7
Sts Duotex Inc.,7
Soymeds Inc,7
"PHASE IV ENGINEERING, INC.",7
Idaho Scientific LLC,7
2LRESEARCH,7
Biosys,7
"Aero Thermo Technology, Inc",7
"Metsat, Inc.",7
"Agdia, Inc. ",7
Vascular Vision Pharmaceutical Co,7
"T &amp; B BIOCLONE, INC.",7
Emocha Mobile Health Inc. ,7
"FUSION NUMERICS, INC.",7
"GENE CHECK, INC.",7
"Xdot Engineering And Analysis, PLLC",7
"Vasoptic Medical, Inc.",7
"Taiga Biotechnologies, Inc.",7
"Aging Aircraft Consulting, LLC",7
"Biosource Technologies, Inc.",7
"BIOAXONE BIOSCIENCES, INC.",7
