Subtopics_name,2022-focus area and code,2021-focus area and code,2020-focus area and code,2019-focus area and code,2018-focus area and code,2017-focus area and code,2016-focus area and code,2015-focus area and code,2014-focus area and code,2012-focus area and code,2011-focus area and code,2010-focus area and code,2009-focus area and code,2008-focus area and code,2007-focus area and code,2006-focus area and code,2005-focus area and code,2004-focus area and code
Combustion for Aerospace Vehicles,,,,,,,,,,,Topic A2 Fundamental Aeronautics; A2.02,Topic A2 Fundamental Aeronautics; A2.02,Topic A2 Fundamental Aeronautics; A2.02,Topic A2 Fundamental Aeronautics; A2.02,Topic A2 Fundamental Aeronautics; A2.02,Topic A2 Fundamental Aeronautics; A2.02,,
Command and Data Handling,,,,,,,,,,,,,,,,,Topic S8 Science Spacecraft Systems Technology; S8.02,Topic E2 Platform Technologies for Earth Science; E2.02
 and Electronics,Focus Area 11 Spacecraft and Platform Subsystems; S16.06,Focus Area 11 Spacecraft and Platform Subsystems; S3.08,Focus Area 11 Spacecraft and Platform Subsystems; S3.08,Focus Area 11 Spacecraft and Platform Subsystems; S3.08,Focus Area 11 Spacecraft and Platform Subsystems; S3.08,Focus Area 11 Spacecraft and Platform Subsystems; S3.08,TA4.5 Autonomy; S3.09,TA8.1 Science Instruments; S3.09,,Topic S3 Spacecraft and Platform Subsystems; S3.01,Topic S3 Spacecraft and Platform Subsystems; S3.01,Topic S3 Spacecraft and Platform Subsystems; S3.01,Topic S3 Spacecraft and Platform Subsystems; S3.01,,,,,
Commercial Geospatial Analysis Platforms for Earth Science Applications,,,,Focus Area 13 Information Technologies for Science Data; S5.02,,,,,,,,,,,,,,
Communication for Space-Based Range,,,,,,,,,,,,,,Topic O1 Space Communications; O1.05,Topic O1 Space Communications and Navigation; O1.03,Topic O1 Space Communications; O1.03,,
Communications and Navigation for Distributed Small Spacecraft Beyond LEO,,,Focus Area 21 Small Spacecraft Technologies; Z8.02,,,,,,,,,,,,,,,
Communications and Navigation for Distributed Small Spacecraft Beyond Low Earth Orbit (LEO),Focus Area 21 Small Spacecraft Technologies; Z8.02,Focus Area 21 Small Spacecraft Technologies; Z8.02,,,,,,,,,,,,,,,,
Communications for Distributed Small Spacecraft Beyond LEO,,,,,Focus Area 21 Small Spacecraft Technologies; Z8.02,,,,,,,,,,,,,
Communiction for Space-Based Range,,,,,,,,,,,,,,,,,Topic O1 Space Communications; O1.03,
Composite Structures - Cryotanks,,,,,,,,,,,,,Topic X5 Advanced Composite Technology; X5.02, Materials and Mechanisms; X4.05,,,,
Composite Structures - Manufacturing,,,,,,,,,,,,,Topic X5 Advanced Composite Technology; X5.03, Materials and Mechanisms; X4.06,,,,
Composite Structures - NDE/Structures Health Monitoring,,,,,,,,,,,,,, Materials and Mechanisms; X4.04,,,,
Composite Structures - Practical Monitoring and NDE for Composite Structures,,,,,,,,,,,,,Topic X5 Advanced Composite Technology; X5.01,,,,,
Computational Material Science Tools for Space Nuclear Systems Design,,,,,,,,,,,,,,,,,Topic X10 Prometheus Technologies; X10.05,
Computational Methods & Tools - High Fidelity Mesh and Geometry Tools,,,,,,Focus Area 18 Air Vehicle Technology; A1.05,,,,,,,,,,,,
Computational Tools and Methods,Focus Area 18 Air Vehicle Technology; A1.05,Focus Area 18 Air Vehicle Technology; A1.05,Focus Area 18 Air Vehicle Technology; A1.05,Focus Area 18 Air Vehicle Technology; A1.05,Focus Area 18 Air Vehicle Technology; A1.05,,,,,,,,,,,,,
Concepts and Technology Development (CTD),,,,,,,,,,,Topic A3 Airspace Systems; A3.01,Topic A3 Airspace Systems; A3.01,,,,,,
Contamination Control and Planetary Protection,Focus Area 11 Spacecraft and Platform Subsystems; S13.04,Focus Area 11 Spacecraft and Platform Subsystems; S4.05,Focus Area 11 Spacecraft and Platform Subsystems; S4.05,,Focus Area 11 Spacecraft and Platform Subsystems; S4.05,Focus Area 11 Spacecraft and Platform Subsystems; S4.05,TA4.5 Autonomy; S4.05,TA4.7 RTA Systems Engineering; S4.05,,,,,,,,,,
Contingency Response Technologies,,,,,,,,,,,,,,,,,Topic X12 Life Support and Habitation; X12.03,
Continuous Crew Health Monitoring,,,,Focus Area 7 Human Research and Health Maintenance; H12.06,,,,,,,,,,,,,,
 Polycarbonate Compatible Coatings for Advanced EVA Spacesuit Visor,,,,,Focus Area 6 Life Support and Habitation Systems; H4.02,,,,,,,,,,,,,
Controls/Dynamics - Propulsion Systems,,,,,,,,,,Topic A3 Air Vehicle Technologies; A3.05,,,,,,,,
Coordination and Control of Swarms of Space Vehicles,,Focus Area 3 Autonomous Systems for Space Exploration; T10.03,Focus Area 3 Autonomous Systems for Space Exploration; T4.03,Focus Area 3 Autonomous Systems for Space Exploration; T4.03,Focus Area 3 Autonomous Systems for Space Exploration; T4.03,,,,,,,,,,,,,
Cost Modeling,,,,,,,,,,,,,,Topic S4 Low-cost Small Spacecraft and Technologies; S4.03,,,,
Crew Accommodations and Waste Processing for Long Duration Missions,,,,,,,,,,,Topic X3 Life Support and Habitation Systems; X3.02,,,,,,,
Crew Accommodations and Water Recovery for Long Duration Missions,,,,,,,,,,Topic H3 Life Support and Habitation Systems; H3.03,,,,,,,,
Crew Autonomy Assessment for Exploration,,,,,,,,,,,,,Topic X12 Behavioral Health and Performance; X12.01,,,,,
Crew Exercise System,,,,,,,,,,,,Topic X11 Exploration Crew Health Capabilities; X11.01,Topic X11 Exploration Crew Health Capabilities; X11.01,Topic X9 Exploration Crew Health Capabilities; X9.01,,,,
Crew Exercise Systems,,,,,,,,,,,Topic X12 Exploration Crew Health Capabilities; X12.01,,,,Topic X12 Exploration Crew Health Capabilities; X12.02,,,
Crew Health and Safety Including Medical Operations,,,,,,,,,,,,,,Topic O3 Processing and Operations; O3.01,Topic O3 Processing and Operations; O3.01,,,
 Abort,,,,,,,,TA6.2 Extravehicular Activity Systems; H4.01,,,,,,,,,,
Crew Systems Technologies for Improved Aviation Safety,,,,,,,,,,,Topic A1 Aviation Safety; A1.08,Topic A1 Aviation Safety; A1.05,Topic A1 Aviation Safety; A1.05,Topic A1 Aviation Safety; A1.05,Topic A1 Aviation Safety; A1.02,Topic A1 Aviation Safety; A1.05,Topic A1 Aviation Safety and Security; A1.01,Topic A1 Aviation Safety and Security; A1.01
Crew Worn Accelerometers in spaceflight environment,,,,,Focus Area 7 Human Research and Health Maintenance; H12.03,,,,,,,,,,,,,
Crewed Spacecraft Environmental Monitoring and Control and Fire Protection Systems,,,,,,,,,,,,,,,,Topic X3 Environmental Control and Life Support (ECLS); X3.03,,
Critical Technologies for In-Space Application of Nuclear Thermal Propulsion,,,,,,,,,,,,,,,,,Topic X10 Prometheus Technologies; X10.02,
Critical Technologies for Space-Based Nuclear Fission Power Systems,,,,,,,,,,,,,,,,,Topic X10 Prometheus Technologies; X10.03,
Cross Cutting Advanced Manufacturing Process for Large Scale Bulk Metallic Glass Systems for Aerospace Applications,,,,,,,,,TA12.1 Materials; Z2.01,,,,,,,,,
Cryo & Thermal Management,,,,,,,,,,,,,,,,,Topic X3 Power Propulsion and Chemical Systems (PPCS); X3.03,
Cryogenic  and Non-Toxic Storable Propellant Space Engines,,,,,,,,,,,,,,,,Topic X9 Propulsion and Propellant Storage; X9.03,,
Cryogenic Fluid Management,Focus Area 1 In-Space Propulsion Technologies; Z10.01,Focus Area 1 In-Space Propulsion Technologies; Z10.01,Focus Area 1 In-Space Propulsion Technologies; Z10.01,Focus Area 1 In-Space Propulsion Technologies; Z10.01,Focus Area 1 In-Space Propulsion Technologies; Z10.01,Focus Area 1 In-Space Propulsion Technologies; Z10.01,,,,,,,,,,,,
Cryogenic Fluid Management Technologies,,,,,,,,,,Topic H2 Space Transportation; H2.01,Topic X10 Cryogenic Propellant Storage and Transfer; X10.01,Topic X10 Cryogenic Propellant Storage and Transfer; X10.01,,,,,,
Cryogenic Fluid Management for In-Space Transportation,,,,,,,TA2.1 Chemical Propulsion; H2.04,TA2.4 Supporting Technologies; H2.04,,,,,,,,,,
Cryogenic Fluid Transfer and Handling,,,,,,,,,,,,,Topic X8 Cryogenic Systems; X8.01,Topic X7 Cryogenic Systems; X7.02,,,,
Cryogenic Instrumentation for Ground and Flight Systems,,,,,,,,,,,,,Topic X8 Cryogenic Systems; X8.02,Topic X7 Cryogenic Systems; X7.03,,,,
Cryogenic Propellant Mass Gauging and Liquid Acquisition for Low Gravity Applications,,,,,,,,,,,,,,,Topic X9 Propulsion and Cryogenic Systems; X9.02,,,
Cryogenic Propellant Storage and Distribution for Space Exploration Applications,,,,,,,,,,,,,,,Topic X9 Propulsion and Cryogenic Systems; X9.01,,,
Cryogenic Purge Gas Recovery and Reclamation,,,,,,Focus Area 16 Ground & Launch Processing; H10.03,,TA1.2 Liquid Rocket Propulsion Systems; H10.01,,,,,,,,,,
Cryogenic Storage for Space Exploration Applications,,,,,,,,,,,,,,Topic X7 Cryogenic Systems; X7.01,,,,
Cryogenic Systems,,,,,,,,,,,,,,,,,,Topic S2 Structure and Evolution of the Universe; S2.03
Cryogenic Systems for Sensors and Detectors, and Instruments; S16.07, and Instruments; S1.09, Detectors and Instruments; S1.09, Detectors and Instruments; S1.09, Detectors and Instruments; S1.09, Detectors and Instruments; S1.09,TA8.1 Science Instruments; S1.09,TA8.3 Sensor Systems; S1.10,, Detectors and Instruments; S1.06, Detectors and Instruments; S1.07, Detectors and Instruments; S1.07, Detectors and Instruments; S1.07, Detectors and Instruments; S1.07, and Instruments; S1.07,Topic S4 Exploration of the Universe Beyond our Solar System; S4.03,Topic S4 Exploration of the Universe Beyond Our Solar System; S4.03,
Cryogenic and Non-Toxic Storable Propellant Space Engines,,,,,,,,,,,,,Topic X10 Cryogenic and Non-Toxic Storable Propulsion; X10.01,,Topic X9 Propulsion and Cryogenic Systems; X9.03,,,
Cubesat Propulsion Systems,,,,,Focus Area 21 Small Spacecraft Technologies; Z8.01,,,,,,,,,,,,,
Damage Tolerant Lightweight Pressure Structures,,,,,,Focus Area 6 Life Support and Habitation Systems; H4.01,,,,,,,,,,,,
Data Analysis Technologies for Potential Gravity Wave Signals,,,,,,,,,,,,,,,,Topic S4 Exploration of the Universe Beyond our Solar System; S4.05,,
Data Analyzing and Processing Algorithms,,,,,,,,,,,,,,Topic S6 Information Technologies; S6.03,Topic S6 Information Technologies; S6.04,,,
 Mining and Visualization,,,,,,,,,,,,,Topic S6 Information Technologies; S6.04,Topic S6 Information Technologies; S6.04,Topic S6 Information Technologies; S6.05,,,
Data Management and Visualization,,,,,,,,,,,,,,,, and Analysis for Science; S8.05, and Analysis for Science ; S9.03,Topic E3 Advanced Information Systems Technology For Earth Science; E3.04
Data Mining,,,,,,,,,,,,Topic A1 Aviation Safety; A1.15,,,,,,
Data Mining and Knowledge Discovery,,,,,,,,,,Topic A1 Aviation Safety; A1.05,Topic A1 Aviation Safety; A1.17,,,,,,,
Data Mining for Integrated Vehicle Health Management,,,,,,,,,,,,,,,Topic A1 Aviation Safety; A1.05,,,
De-orbit Devices/Technologies for Small Spacecraft,,,,,,,,,,,,Topic S4 Low-Cost Small Spacecraft and Technologies; S4.01,,,,,,
Deep Neural Net and Neuromorphic Processors for In-Space Autonomy and Cognition,Focus Area 3 Autonomous Systems for Space Exploration; H6.22,Focus Area 3 Autonomous Systems for Space Exploration; H6.22,Focus Area 3 Autonomous Systems for Space Exploration; H6.22,Focus Area 3 Autonomous Systems for Space Exploration; H6.22,,,,,,,,,,,,,,
Deep Space Cubesat Technology,,,,,,,,,TA12.5 Cross-Cutting; Z20.01,,,,,,,,,
Deep Space Power Systems,,,,,,,,,,,,,,,,,Topic S2 Robotic Exploration Throughout the Solar System; S2.04,Topic S4 Exploration of the Solar System; S4.04
Deep Space Propulsion,,,,,,,,,,,,,,,,,,Topic S1 Sun Earth Connection; S1.02
Deployable 3D Woven Thermal Protection Materials,,,,,, and Landing Systems; Z7.02,,,,,,,,,,,,
Deployable Aerodynamic Decelerator Technology,,, and Landing Systems; Z7.03,, Descent and Landing Systems; Z7.03, and Landing Systems; Z7.03,,,,,,,,,,,,
Deployable Aerodynamic Decelerator and Weave Diagnostic Technology,,,, and Landing Systems; Z7.03,,,,,,,,,,,,,,
Deployable Structures,,,,,,,,TA12.2 Structures; H5.01,TA12.2 Structures; H5.02,,,,,,,,,
Deposition and Curing of Thermoset Resin Mixtures for Thermal Protection,,, and Assembly; T12.05,,,,,,,,,,,,,,,
Design Tools for Advanced Tailorable Composites,, and Assembly; T12.07,,,,,,,,,,,,,,,,
Design and Analysis Tools,,,,,,,,,,,,,,,,,Topic X4 Advanced Studies Concepts and Tools (ASCT); X4.02,
 Ablative Environmentally Compliant TPS,,,,,,,,,,,,,,Topic X8 Protection Systems; X8.01,,,,
 Ablative Environmentally Compliant TPS,,,,,,,,,,,,,,,Topic X10 Protection Systems; X10.01,,,
Detection and Reduction of Biological Contamination on Flight Hardware,,,,,,,,,,,,,,,,,Topic S1 Robotic Exploration of the Moon and Mars; S1.01,
Detection and Reduction of Biological Contamination on Flight Hardware and in Return Sample Handling,,,,,,,,,,,,,,,,,,Topic S5 Mars Exploration; S5.01
Detection of Aircraft Anomalies,,,,,,,,,,,,Topic A1 Aviation Safety; A1.10,Topic A1 Aviation Safety; A1.10,,,,,
Detection of In-Flight Aircraft Anomalies,,,,,,,,,,,,,,Topic A1 Aviation Safety; A1.10,,,,
 and Mitigation of Sensor Failures,,,,,,,,,,,Topic A1 Aviation Safety; A1.14,,,,,,,
 Gamma-Ray Instruments,,, Detectors and Instruments; S1.05, Detectors and Instruments; S1.05,,,,,,,,,,,,,,
 Gamma-Ray and Cosmic-Ray Instruments,,,,, Detectors and Instruments; S1.05, Detectors and Instruments; S1.05,TA8.3 Sensor Systems; S1.04,TA8.1 Science Instruments; S1.04,TA8.3 Sensor Systems; S1.04, Detectors and Instruments; S1.04, Detectors and Instruments; S1.05, Detectors and Instruments; S1.05, Detectors and Instruments; S1.05, Detectors and Instruments; S1.05, and Instruments; S1.05,Topic S4 Exploration of the Universe Beyond our Solar System; S4.02,,
 Gamma-Ray Instruments,, and Instruments; S1.05,,,,,,,,,,,,,,,,
 and Gamma-Ray Instruments, and Instruments; S12.06,,,,,,,,,,,,,,,,,
 and Metal Recycling Technologies for On-Orbit Manufacturing,, and Manufacturing (OSAM); Z3.03,,,,,,,,,,,,,,,,
Development of Higher Strength Feedstocks for In-Space Manufacturing,,,,,Focus Area 14 In-Space and Advanced Manufacturing; H7.01,,,,,,,,,,,,,
Development of Improved Outreach Planning and Implementation Products,,,,,,,,,,,,,,,,,,Topic B5 Flight Payload Technologies and Outreach; B5.03
Development of Mobile Welding Capabilities for In-Space Manufacturing,,,,Focus Area 14 In-Space and Advanced Manufacturing; Z3.02,,,,,,,,,,,,,,
Development of Treatment Technologies and Process Monitoring for Water Recovery,,,,,,,,,TA6.1 Environmental Control Life Support & Habitation Systems; H3.04,,,,,,,,,
Development of material joining technologies and large-scale additive manufacturing processes for on-orbit manufacturing and construction,,, and Manufacturing (OSAM); Z3.03,,,,,,,,,,,,,,,
Diagnosis of Aircraft Anomalies,,,,,,,,,,,,Topic A1 Aviation Safety; A1.11,Topic A1 Aviation Safety; A1.11,,,,,
Diagnostic Tools for High Velocity Testing and Analysis,,,,,,,TA9.1 Aeroassist & Entry; H7.02,TA9.1 Aeroassist & Entry; H7.02,,,,,,,,,,
Diagnostic tools for high enthalpy and high temperature materials testing and analysis,,, and Landing Systems; Z7.06,,,,,,,,,,,,,,,
Digital Assistants for Science and Engineering,,Focus Area 23 Digital Transformation for Aerospace; T11.04,Focus Area 23 Digital Transformation for Aerospace; T11.04,Focus Area 23 Digital Transformation for Aerospace; T11.04,,,,,,,,,,,,,,
Distributed Digital Ledger for Aerospace Applications,,,Focus Area 23 Digital Transformation for Aerospace; T11.03,Focus Area 23 Digital Transformation for Aerospace; T11.03,,,,,,,,,,,,,,
Distributed Electric Propulsion (DEP) Vehicles toward Urban Air Mobility (UAM) and Regional Airliners,,,,Focus Area 18 Air Vehicle Technology; T15.01,,,,,,,,,,,,,,
Distributed Information Systems and Numerical Simulation,,,,,,,,,,,,,,,, and Analysis for Science; S8.02, and Analysis for Science ; S9.02,Topic E3 Advanced Information Systems Technology For Earth Science; E3.02
DragSails for Spacecraft Deorbit,,,Focus Area 21 Small Spacecraft Technologies; Z8.06,Focus Area 21 Small Spacecraft Technologies; Z8.06,,,,,,,,,,,,,,
Durable Propulsion Components,,,,,,,,,,,Topic A1 Aviation Safety; A1.03,,,,,,,
Dust Tolerant Mechanisms,,,Focus Area 24 Dust Mitigation; Z13.02,,,,,,,,,,,,,,,
 High Pressure Oxygen Quick Disconnect for Advanced Spacesuit and Airlock Applications,,,,,,,TA6.2 Extravehicular Activity Systems; H4.01,,,,,,,,,,,
Dust-Tolerant Mechanisms,,Focus Area 24 Dust Mitigation; Z13.02,,,,,,,,,,,,,,,,
Dynamic Energy Conversion for Space Nuclear Power and Propulsion,, Energy and Storage; Z1.07,,,,,,,,,,,,,,,,
Dynamic Power Conversion,, Energy and Storage; S3.02,Focus Area 2 Power Energy and Storage; S3.02,,,,,,,,,,,,,,,
 and Software Systems,,,,,,,TA6.2 Extravehicular Activity Systems; H4.03,TA6.2 Extravehicular Activity Systems; H4.03,,,,,,,,,,
EVA Space Suit Pressure Garment Systems,,,,,,,,TA6.2 Extravehicular Activity Systems; H4.02,,,,,,,,,,
EVA Suit Monitoring and Treatment,,,,,,,,,,,,,,Topic X10 Exploration Medical Capability; X10.02,,,,
EVA Suit Simulator,,,,,,,,,,,,,Topic X11 Exploration Crew Health Capabilities; X11.02,,,,,
EVA Technologies,,,,,,,,,,,,,,,,,Topic X12 Life Support and Habitation; X12.02,
Earth Entry Vehicle Systems,,,,,,,,,,,,Topic S3 Spacecraft and Platform Subsystems; S3.10,,,,,,
Earth In Situ Sensors,,,,,,,,,,,,,,,,Topic S6 Earth Science Instrument and Sensor Technology; S6.03,Topic S6 Earth-Sun System Instrument and Sensor Technology; S6.03,
Earth Science Applied Research and Decision Support,,,,,Focus Area 13 Information Technologies for Science Data; S5.02,Focus Area 13 Information Technologies for Science Data; S5.02,TA11.4 Information Processing; S5.02,TA11.4 Information Processing; S5.02,TA11.4 Information Processing; S5.02,Topic S5 Information Technologies; S5.02,Topic S6 Information Technologies; S6.02,Topic S6 Information Technologies; S6.02,Topic S6 Information Technologies; S6.02,,,,,
Earth Science Decision Support Tools Focused on the Mitigation of Climate Change Impacts,Focus Area 13 Information Technologies for Science Data; S11.06,,,,,,,,,,,,,,,,,
Earth-to-Orbit Propulsion,,,,,,,,,,,,Topic X2 Advanced Propulsion; X2.01,,,,,,
Efficient Propulsion and Power,,,,,,,,TA11.2 Modeling; A1.07,,,,,,,,,,
 Power Management and Distribution Technologies,,,,,,,,,,,,,,,,,Topic A2 Vehicle Systems; A2.05,
Electric Field Mapping and Prediction Methods within Spacecraft Enclosures,,,Focus Area 5 Communications and Navigation; T5.03,,,,,,,,,,,,,,,
Electric Power Generation Via Thermionic Conversion for Hypersonic Applications,,Focus Area 18 Air Vehicle Technology; A1.07,,,,,,,,,,,,,,,,
Electric Propulsion,,,,,,,,,,,,,,,,Topic S7 Science Spacecraft Systems Technology; S7.03,,
Electric Propulsion Systems,,,,,,,,,,,Topic X2 Propulsion; X2.03,Topic X2 Advanced Propulsion; X2.04,,,,,,
Electric and Intelligent Propulsion Technologies for Environmentally Harmonious Aircraft,,,,,,,,,,,,,,,,,,Topic A2 Vehicle Systems; A2.02
Electric field mapping and prediction methods within spacecraft enclosures,,,,Focus Area 5 Communications and Navigation; T5.02,,,,,,,,,,,,,,
Electrified Aircraft Propulsion,Focus Area 18 Air Vehicle Technology; A1.04,Focus Area 18 Air Vehicle Technology; A1.04,Focus Area 18 Air Vehicle Technology; A1.04,Focus Area 18 Air Vehicle Technology; A1.04,,,,,,,,,,,,,,
Electrified Aircraft Propulsion & Concepts,,,,,Focus Area 18 Air Vehicle Technology; A1.07,,,,,,,,,,,,,
Electrified Aircraft Propulsion Energy Storage,,,Focus Area 18 Air Vehicle Technology; T15.03,Focus Area 18 Air Vehicle Technology; T15.03,,,,,,,,,,,,,,
Enabling Aircraft Autonomy,Focus Area 19 Integrated Flight Systems; A2.02,Focus Area 19 Integrated Flight Systems; A2.02,,,,,,,,,,,,,,,,
Enabling NASA Science through Large-Scale Data Processing and Analysis,,,,,,Focus Area 13 Information Technologies for Science Data; S5.03,TA11.2 Modeling; S5.03,,,,,,,,,,,
Enabling Research for ISS,,,,,,,,,,,,,Topic O3 Processing and Operations; O3.03,,,,,
Enabling Spacecraft Water Monitoring through Nanotechnology,,Focus Area 6 Life Support and Habitation Systems; T6.06,,,,,,,,,,,,,,,,
Enabling Technologies for Biological Life Support,,,,,,,,,,,Topic X3 Life Support and Habitation Systems; X3.01,,,,,,,
Energy Conversion and Power Electronics for Deep Space Missions,,,,,,,,,,,,,,,,Topic S2 Robotic Exploration Throughout the Solar System; S2.03,,
Energy Conversion and Storage for Space Applications,,,,,,,,,,,,,,,,,Topic S8 Science Spacecraft Systems Technology; S8.05,
Energy Conversion for Space Applications,,,,,,,,,,,,,,,,,,Topic E2 Platform Technologies for Earth Science; E2.06
Energy Storage,,,,,,,,,,,,,,,,,Topic X3 Power Propulsion and Chemical Systems (PPCS); X3.02,
Energy Storage Technologies,,,,,,,,,,,,,,,,,,Topic E2 Platform Technologies for Earth Science; E2.05
Energy Storage for Extreme Environments, Energy and Storage; S13.07, Energy and Storage; S3.03,Focus Area 2 Power Energy and Storage; S3.03,,,,,,,,,,,,,,,
Engine Lifing and Prognosis for In-Flight Emergencies,,,,,,,,,,,,,Topic A1 Aviation Safety; A1.08,Topic A1 Aviation Safety; A1.08,,,,
 Navigation and Control,,, and Landing Systems; Z7.01, and Landing Systems; Z7.01, Descent and Landing Systems; Z7.01,,,,,,,,,,,,,
Entry and Descent System Technologies, and Landing Systems; Z7.03, and Landing Systems; Z7.03,,,,,,,,,,,,,,,,
 Descent and Landing,,,,,,,,,,,,,,,,,Topic S1 Robotic Exploration of the Moon and Mars; S1.04,
 and Landing (EDL) Terrestrial Testing Technologies,, and Landing Systems; Z7.06,,,,,,,,,,,,,,,,
 and Landing Flight Sensors and Instrumentation, and Landing Systems; Z7.01, and Landing Systems; Z7.01,,,,,,,,,,,,,,,,
Environmental Control Systems & Technologies for NR & Cubesats,,,,,,,,,,,Topic O3 Processing and Operations; O3.06,,,,,,,
Environmental Control and Life Support,,,,,,Focus Area 6 Life Support and Habitation Systems; H3.03,,,,,,,,,,,,
Environmental Control and Life Support for Spacecraft and Habitats,,,,,,,TA6.1 Environmental Control Life Support & Habitation Systems; H3.02,,,,,,,,,,,
Environmental Control of Spacecraft Cabin Atmosphere,,,,,,,,,,,,,,,,,,Topic B3 Biomedical and Human Support Research; B3.01
Environmental Monitoring,,,,,,,TA8.3 Sensor Systems; H3.01,,,,,,,,,,,
Environmental Monitoring and Fire Protection for Spacecraft Autonomy,,,,,,,,,,Topic H3 Life Support and Habitation Systems; H3.02,Topic X3 Life Support and Habitation Systems; X3.03,,,,,,,
Environmental Monitoring for Spacecraft Cabins,,,,,,Focus Area 6 Life Support and Habitation Systems; H3.02,,TA6.1 Environmental Control Life Support & Habitation Systems; H3.01,,,,,,,,,,
Exoplanet Detection and Characterization Technologies,Focus Area 10 Advanced Telescope Technologies; S12.01,,,,,,,,,,,,,,,,,
Expandable Structures,,,,,,,,,,,Topic X5 Lightweight Spacecraft Materials and Structures; X5.01,Topic X5 Lightweight Spacecraft Materials and Structures; X5.01, Materials and Mechanisms; X4.02, Materials and Mechanisms; X4.03,,,,
Expandable/Deployable Structures,,,,,,,,,,Topic H5 Lightweight Spacecraft Materials and Structures; H5.01,,,,,,,,
Experimental Capabilities and Flight Research,,,,,,,,,,,,,,,Topic A2 Fundamental Aeronautics; A2.08,Topic A2 Fundamental Aeronautics; A2.08,,
 and Vibration Technology,,,,,,,,,,,,,,,,,,Topic B1 Cross-Disciplinary Physical Sciences; B1.01
Exploration Countermeasure Capability - Portable Activity Monitoring System,,,,,,,,,,Topic H12 Human Research and Health Maintenance; H12.01,,,,,,,,
Exploration Medical Capability,,,,,,,,,,,,,,,Topic X12 Exploration Crew Health Capabilities; X12.03,,,
Exploration Medical Capability - Medical Suction Capability,,,,,,,,,,Topic H12 Human Research and Health Maintenance; H12.02,,,,,,,,
Exploration Portable Life Support System (xPLSS) for deep space and surface missions,,,,Focus Area 6 Life Support and Habitation Systems; H4.01,,,,,,,,,,,,,,
Exploration Portable Life Support System Component Challenges,,,Focus Area 6 Life Support and Habitation Systems; H4.01,,,,,,,,,,,,,,,
Exploration Pressure Garment System (xPGS) for deep space and surface missions,,,,Focus Area 6 Life Support and Habitation Systems; H4.04,,,,,,,,,,,,,,
Extensible Modeling of Additive Manufacturing Processes,, and Manufacturing (OSAM); T12.06, and Manufacturing (OSAM); T12.06,,,,,,,,,,,,,,,
Extensible Modeling of Metallurgical Additive Manufacturing Processes,,,,,Focus Area 14 In-Space and Advanced Manufacturing; T12.02,,,,,,,,,,,,,
Extraction of Oxygen and Water from Lunar Regolith,,Focus Area 8 In-Situ Resource Utilization; Z12.01,,,,,,,,,,,,,,,,
Extraction of Oxygen from Lunar Regolith,,,Focus Area 8 In-Situ Resource Utilization; Z12.01,Focus Area 8 In-Situ Resource Utilization; Z12.01,,,,,,,,,,,,,,
 and Water from Lunar Regolith,Focus Area 8 In-Situ Resource Utilization; Z12.01,,,,,,,,,,,,,,,,,
Extraterrestrial Surface Construction, and Assembly; Z14.02,,,,,,,,,,,,,,,,,
Extravehicular (EVA) Radios,,,,,,,,,,,,,,,,Topic O1 Space Communications; O1.06,Topic O1 Space Communications; O1.07,
Extravehicular Activity (EVA),,,,,,,,,,,,,,Topic X5 Lunar Operations; X5.03,,,,
Extreme Environment & Aerial Mobility,,,,,,,,,,,,,,,,,,Topic S4 Exploration of the Solar System; S4.02
Extreme Environment Electronics/SEE,,,,,,,,,,,,,,,,, Electronics and Imaging (CCEI); X1.02,
Extreme Environments Technology,Focus Area 11 Spacecraft and Platform Subsystems; S13.03,Focus Area 11 Spacecraft and Platform Subsystems; S4.04,Focus Area 11 Spacecraft and Platform Subsystems; S4.04,Focus Area 11 Spacecraft and Platform Subsystems; S4.04,Focus Area 11 Spacecraft and Platform Subsystems; S4.04,Focus Area 11 Spacecraft and Platform Subsystems; S4.04,TA4.2 Mobility; S4.04,TA12.1 Materials; S4.04,TA8.1 Science Instruments; S4.04,Topic E3 Science Mission Directorate Select Subtopics; E3.03,Topic S5 Robotic Exploration Technologies; S5.05,Topic S5 Robotic Exploration Technologies; S5.05,Topic S5 Robotic Exploration Technologies; S5.05,,Topic S5 Robotic Exploration Technologies; S5.01,,,
Extreme High Temperature/High Pressure Environment,,,,,,,,,,,,,,,,,Topic S2 Robotic Exploration Throughout the Solar System; S2.02,
Extreme Temperature Structures,,,,,,,TA12.2 Structures; H5.02,TA12.1 Materials; H5.02,,,,,,,,,,
Fault Management Technologies,Focus Area 3 Autonomous Systems for Space Exploration; S17.03,Focus Area 3 Autonomous Systems for Space Exploration; S5.05,Focus Area 3 Autonomous Systems for Space Exploration; S5.05,Focus Area 3 Autonomous Systems for Space Exploration; S5.05,Focus Area 3 Autonomous Systems for Space Exploration; S5.05,,TA4.5 Autonomy; S5.05,TA4.5 Autonomy; S5.05,TA11.2 Modeling; S5.05,Topic S5 Information Technologies; S5.05,Topic S6 Information Technologies; S6.05,,,,,,,
 Propulsion and Secure CNS Aircraft Systems,,,,,,,,,,,,,,,,,Topic A1 Aviation Safety and Security; A1.03,
Fission Surface Power Generation,,,,, Energy and Storage; Z1.03,,,,,,,,,,,,,
