Company Name,Experience With SBIR Program
CMS FIELD PRODUCTS,1
Cms Research Corp,1
"Cmsoft, Inc.",22
"Cmtg Research, Inc.",2
Cmty Alternatives,1
"CN3, INC. WHICH WILL DO BUSINESS IN CALIFORNIA AS CN3 SYSTEMS, INC.",1
CNC Connection Corporation,1
"Cnc Systems, Inc.",2
"CND LIFE SCIENCES, INC.",1
CNF TECHNOLOGIES CORP,1
CNine Biosolutions,1
"Cnr, Inc.",2
Cns Inc,1
Cns Technology,2
"CO2Sync, Inc.",1
CoachSafe PlaySafe LLC,1
Coact Technologies,2
"Coactigon, Inc.",1
"Coactive Aesthetics, Inc.",1
"Coagulo Medical Technologies, Inc.",1
Coal Biotech Corpon,1
Coal Gas Inc.,4
Coal Tech Corp.,8
Coal-ition Inc,1
Coala Biosciences,1
Coalesenz Inc.,1
"Coalition Technologies, Ltd.",2
Coapt LLC,5
"CoapTech, LLC",4
"COARE BIOTECHNOLOGY, INC.",4
"COARE Holdings, Inc",3
COASPIRE LLC,3
"COASTAL ENGINEERING CONSULTANTS, LLC",1
Coastaloceanvision Inc,5
Coates Engineering Services,1
"Coating Systems Laboratories, Inc.",2
Coating Technology Solutions Inc.,9
"Cobalt Blue, Inc.",1
Cobalt Solutions Inc.,5
"Cobalt Solutions, Llc",2
"Cobalt Speech and Language, Inc. ",5
Cobb Design Inc,2
Cobbs Engineering Inc,1
Cobio Diagnostics Inc.,2
CoBlitz,1
"Cobra Aero, LLC",1
"Cobra Design &amp; Engineering, Inc",7
Cobra Technologies Inc.,2
"Cocensys, Inc.",7
Cochise Instruments,1
COCO COMMUNICATIONS CORP.,2
CoCoPIE LLC,1
"CODA Biotherapeutics, Inc.",1
"CODA GENOMICS, LLC",3
"CODA LABS, LLC",1
Codagenix Inc.,13
"CODAR OCEAN SENSORS, LTD",13
"CODEBEX, INC.",1
CODECRAFT WORKS LLC,2
Coded Imagery,1
"Codelucida, Inc.",2
"Coder Technologies, Inc.",2
Coderrect Inc.,2
CodeSource Software Corp,1
"CODESOURCERY, INC.",3
"CODESPARK, INC.",2
CODETRONIX LLC,5
"CODEVAX, INC.",1
CODEX BIOSOLUTIONS,7
Codon,4
"Codon Learning, Inc.",1
"Codon Pharmaceuticals, Inc.",2
CODONCODE CORPORATION,2
COE Optics. LLC,1
Coe-truman Technologies,1
"COECARE.COM, LLC",6
"COEUS HEALTH, LLC",2
"COFACTOR GENOMICS, INC.",2
COFFINBERRY &amp; ASSOC.,2
"COG ANALYTICS, LLC",14
Cog Ecosystems,2
Cogenics Inc,1
Cogent Light,1
Cogent Light Technolo- Gies,1
"Cogent3D, Inc.",2
"CoGenTex, Inc.",8
"Cogentis Therapeutics, Inc",2
COGITARI INC,1
"COGITO HEALTH, INC.",3
COGMETRIC LLC ,2
"Cognate Therapeutics, Inc.",2
Cognet Systems Inc,1
"COGNETIX, INC.",13
Cognext Diagnostics LLC,2
Cognia Corporation,7
"Cognicom, Inc.",1
"CognifiSense, Inc.",1
"Cognii, Inc.",2
"Cognionics, Inc.",12
"CogniScent, Inc.",5
Cogniscient Research Solutions,1
COGNISENSE LABS,1
"COGNISPHERE, INC.",1
"Cognita Labs, LLC",4
COGNITECH CORPORATION,31
Cognitek Management Systems Inc,1
"Cognitics, Inc.",5
COGNITION CORP.,6
Cognition LLC,3
"COGNITION THERAPEUTICS, INC.",12
COGNITIVE CONCEPTS,4
"COGNITIVE CONCEPTS, INC.",1
Cognitive Electronics Llc,2
"Cognitive Flexibility, Inc.",1
"Cognitive Medical Systems, Inc.",2
"COGNITIVE PERFORMANCE GROUP OF FLORIDA, LLC",5
"COGNITIVE PHARMACEUTICALS, LTD",4
"Cognitive Radio Technologies, LLC",7
COGNITIVE ROBOTICS LLC,2
"Cognitive Space, Inc",3
"Cognitive Systems Engineering, Inc.",2
Cognitive Systems Inc.,5
"COGNITIVE TECHNOLOGIES, INC.",13
"Cognitive ToyBox, Inc.",4
"Cognitive Vision, Inc.",1
Cognitopia LLC,1
"Cognivive, Inc.",1
"COGNIZANCE BIOMARKERS, LLC",2
COGNOSCI INC,37
"Cognosetta, Inc.",1
Cognovi Labs Inc.,3
"COGS, LLP",1
COGTHERA LLC,1
Cogwear LLC,1
"COHERA MEDICAL, INC.",4
"Coherent Applications, Inc.",7
Coherent Commu Sys Corp.,1
Coherent Knowledge Systems LLC,1
"Coherent Logix, Incorporated",40
"Coherent Navigation, Inc.",6
"Coherent Photon Imaging, LLC",1
"COHERENT PHOTONICS, INC.",1
Coherent Research Inc.,6
Coherent Systems Inc.,2
COHERENT SYSTEMS INTERNATIONAL CORP.,5
"COHERENT TECHNICAL SERVICES, INC.",33
"COHERENT TECHNOLOGIES, INC.",218
"Coherix, Inc.",4
Cohesia Corporation,1
"COHESIONFORCE, INC.",4
Cohesive Technologies Inc.,1
COHI GROUP L.L.C.,1
"Cohort FS, LLC",1
COI Ceramics Inc,64
Coiled Computing Inc.,1
Coin Systems Inc,1
"Coincident, Inc.",2
COLBY PHARMACEUTICAL COMPANY,4
"Cold Springs R&amp;D, Inc.",1
Colding International Corp,1
"Coldquanta, Inc.",37
"COLDSTEEL LASER, INC",1
"COLE ENGINEERING SERVICES, INC.",10
Coleman Engine Corp,4
Coleman Research Corp.,24
COLIN MEDICAL INSTRUMENTS,1
"Colla-tec, Inc.",2
Collaboration In Sci-tech Inc.,5
"Collaboration.Ai, LLC",2
"COLLABORATIONS PHARMACEUTICALS, INC.",9
"COLLABORATIVE DRUG DISCOVERY, INC.",16
Collaborative Laboratorytor,1
Collaborative Motion Cntrl,1
"COLLABORATIVE WORK SYSTEMS, INC.",2
Collagen Corp,2
"COLLAGEN MATRIX, INC.",17
"Collagen Medical, LLC",17
"Collagen Technologies, Inc.",1
"Collagenex Pharmaceuticals, Inc.",3
COLLAMEDIX INC,3
"COLLEGE PARK INDUSTRIES, INC.",1
College Park Software,1
"COLLEGIUM PHARMACEUTICAL, INC.",1
"COLLIDE, INC.",5
Collier Research And Development Corporation,8
"Collier Ventures, Inc",1
Colliga Apps Corp.,1
Collimated Holes Inc.,2
"Collinge And Associates, Inc.",12
collins clark technologies inc.,1
Collison Safety Engineer Inc,2
Colloidal Metrics Corp,1
"Colnatec, LLC",2
Colography Group Inc.,2
COLOMBIA GORGE RESEARCH LLC,3
"Colonial Circuits, Inc.",1
"COLORADO ALTITUDE TRAINING, LLC",2
Colorado Biomedical Inc.,2
Colorado Biotechnology Assocs,1
Colorado Chemical Specialties,1
COLORADO ELECTRONICS INC,14
Colorado Energy Associates,2
Colorado Engineering Analysis,2
COLORADO ENGINEERING INC.,66
Colorado Engrg Research Labora,1
"COLORADO PHOTOPOLYMER SOLUTIONS, LLC",2
"COLORADO RESEARCH &amp; ENGINEERING, INC.",3
Colorado Research Development,12
Colorado Research Laboratory,2
Colorado Research Partners LLC,2
Colorado Superconductor Inc,1
Coloray Display Corp,1
Colorcode Unlimited,1
"Colowrap, LLC",1
"ColTec, Inc.",1
Columbia Biotechnologies Corporation,3
Columbia Building Materials,1
Columbia Cascade Inc.,5
"Columbia Group, Inc. The",3
Columbia Laboratories,1
"COLUMBIA POWER TECHNOLOGIES, INC",4
Columbia Research Instruments,1
COLUMBUS ADVANCED MANUFACTURING SOFTWARE,2
"Columbus Biomedical Research,",1
"Columbus Nanoworks, Inc.",7
COLVIN RUN NETWORKS INC,15
"Colytix, Inc",1
"Com-solutions, Inc.",2
Com:one,1
Com:one Devices Inc.,2
"Comake, Inc.",1
"COMANCHE ENGINEERING SOLUTIONS, PLLC",1
"Combat Power Solutions, LLC",2
"COMBAT TRAINING SOLUTIONS, INC.",1
"Combichem, Inc.",1
COMBIMATRIX CORPORATION,4
Combinati Incorporated,7
"Combined Technology Solutions, LLC",2
"COMBINIX, INC.",8
"CombiSep, Inc.",2
"Combplex, Inc.",1
Combustion &amp; Fuel Research Inc,5
Combustion Electromagnetics,2
COMBUSTION PROPULSION &amp; BALLISTIC TECHNOLOGY CORP.,6
"COMBUSTION RESEARCH AND FLOW TECHNOLOGY, INC.",287
Combustion Resources,3
"COMBUSTION SCIENCE &amp; ENGINEERING, INC.",36
"Combustion Sciences, Inc.",3
Combustion Systems Inc,1
Combustion Technologies,1
"COMCEPT, INC.",1
"COMCHEM TECHNOLOGIES, INC.",3
Comdel Inc.,2
Comet Technology Corporation ,10
Comfocus Development Corp,1
COMFORT CONSULTS,2
Comfortex Corp,1
ComFrame Software Corporation,1
Command and Control Technologies Corp.,8
"Command Applied Technology, Inc",1
"Command Control, Inc.",10
"COMMAND PERFORMANCE RESEARCH, INC.",3
"Command Sight, Inc.",1
Command Systems Group Inc,3
"Command Technologies, Inc.",2
Commercial Computer Systems LLC,2
"Commercial Electronics, Inc.",2
"Commercial Satellite Systems,",3
COMMET LLC,5
"COMMGRAPHICS INTERACTIVE, INC",5
COMMIT TECHNOLOGIES INC,2
COMMLARGO INC,3
Commoca,2
"Commodo Materials, LLC",2
"COMMON GROUND PUBLISHING, LLC",5
Common Sensing Inc,2
"Commonwealth Biotechnologies, Inc.",3
Commonwealth Computer,1
Commonwealth Computer Research Inc,17
"Commonwealth Informatics, Inc.",4
COMMUNICATION CONCEPTS AND,1
"COMMUNICATION DISORDERS TECHNOLOGY, INC",18
Communication Intelligence,6
COMMUNICATION POWER CORPORATION,1
COMMUNICATION WAVE,1
"COMMUNICATIONS &amp; EAR PROTECTION, INC.",6
Communitech International,1
"Community Energy Labs, LLC",1
"COMMUNITY ENERGY, INC.",2
Community Knowledgebase,3
COMMUNITY POWER CORPORATION,8
"COMMUNITY SCIENCE, INC",2
"Community Services Institute,",2
COMMUNITY STRATEGIES,4
"COMMUNITY SYSTEMS GROUP, INC.",4
"Comnet Technology Group, Inc.",1
"COMNETICS, INC.",1
Comoco,2
COMON SOLUTIONS LLC,1
Comp-u-stat,2
"COMPACT DISC, INC.",22
Compact Discoveries Inc,1
Compact Medical Inc.,1
"COMPACT MEMBRANE SYSTEMS, INC.",238
COMPACT POWER INC,3
"Compact Software, Inc.",10
"Companion Sciences, Inc.",1
"COMPARATIVE BIOSCIENCES, INC.",1
Compass Information,1
Compass Innovations Inc.,1
"COMPASS SYSTEMS, INC.",5
"Compass Technology Group, LLC",15
"Compeer, Inc.",2
COMPELLON INCORPORATED,1
"COMPENDIA BIOSCIENCE, INC.",5
"Compendium Federal Technology, LLC",1
COMPETING VALUES LLC,1
Compex Inc,1
"COMPLEGEN, INC.",4
COMPLERE INC,16
"Complete Test and Measurement Systems, Inc.",1
completionAI LLC,1
Completionconcepts,3
Complex Carbohydrate Corp,1
"Complex Computation, LLC",3
Complex Systems Research Inc,2
Compliment Corporation,1
"COMPOSITE APPLICATIONS, INC.",2
"COMPOSITE CERAMIC TECHNOLOGIES, LLC",1
COMPOSITE CUTTER TECHNOLOGY,1
Composite Design,1
Composite Development Corp,2
"Composite Energy Technologies, Inc.",2
"Composite Factory, Inc.",3
COMPOSITE MATRIX CORP.,1
Composite Mirror Applications inc ,3
COMPOSITE OPTIMIZATION CO.,2
"Composite Products, Inc.",1
"COMPOSITE SUPPORT &amp; SOLUTIONS, INC.",11
"COMPOSITE TECHNOLOGY DEVELOPMENT, INC.",149
COMPOSITE TOOLING CORP.,1
"Composites &amp; Mechanics, Inc.",2
Composites Automation LLC,16
COMPOSITES RESEARCH &amp; ADVANCED MATERIALS,4
"Composites-Consulting, Inc.",1
"COMPOSITEX, INC.",7
COMPOSIX CO.,2
"Compost Plant, L3C, The",1
Compost Wizard,2
Compound Engine Consultants In,2
Compound Eye Inc.,1
"COMPOUND THERAPEUTICS, INC.",1
COMPREHENSIVE FIELD DEMONSTRATIONS,1
Compression Labs Inc,1
Compression Telecommunications,3
"COMPREVAL, INC.",4
"Comprex, LLC",4
"CompSys Technologies, Inc.",2
Comptek Company,2
Compu  Simulation &amp; Anal I,3
Compu Systems Corp,1
Compu-cad Inc,1
Compucyte Corp.,2
Compudrive Corp,6
Compusearch Corp,1
Compusec Inc.,2
COMPUSENSOR TECHNOLOGY CORP.,13
"Compusniff, LLC",10
Computability Corp,3
Computation Geosciences,2
"Computational Biosciences, Inc",5
Computational Consulting,1
"COMPUTATIONAL DIAGNOSTICS, INC.",4
COMPUTATIONAL DYNAMICS INC,2
COMPUTATIONAL ENGINEERING INTERNATIONAL,6
"Computational Logic, Inc.",1
Computational Mechan,31
Computational Mechanics International Inc,1
Computational Optics,1
"COMPUTATIONAL PHYSICS, INC.",26
COMPUTATIONAL SCIENCES LLC,11
COMPUTATIONAL SENSORS CORP.,32
"COMPUTATIONAL SIMULATION SOFTWARE, LLC",2
"COMPUTATIONAL TEXTILES, INC.",1
"CompuTaught, Inc.",1
"COMPUTCHEM, LLC",2
COMPUTELLIGENCE LLC,1
Computer &amp; Information,8
COMPUTER AID DESIGN DRAFT CORP,1
Computer Aided Engineering,1
Computer Aided Process,4
"Computer Aided Process Improvement, Inc.",1
"Computer Aided Surgery, Inc.",2
Computer Algorithm Development,1
COMPUTER ANALYSIS PLUS PARTNRSHP,2
Computer Applications Service,1
Computer Cognition,4
COMPUTER COMMAND &amp; CONTROL CO.,11
Computer Consulting &amp; Program,2
Computer Corp. Of America,1
"COMPUTER DEPARTMENT, LTD., THE",1
Computer Enhanced Tech,1
Computer Genetics Corp.,2
COMPUTER GRAPHICS SYSTEMS DEVELOPMENT CORP.,15
Computer Horizons Inc.,2
"COMPUTER INTERFACE INSTRUMENTATION, INC.",2
"COMPUTER LIFEGUARD, INC.",1
"Computer Measurement Laboratory, LLC",8
Computer Medical Diagnostics,1
"Computer Motion, Inc.",6
Computer Multimedia,3
"COMPUTER NETWORKS &amp; SOFTWARE, INC.",4
"Computer One, Inc.",1
COMPUTER OPTICS INC.,10
Computer Resource Consultants,1
COMPUTER SCIENCE &amp; APPLICATIONS,12
"COMPUTER SCIENCE INNOVATIONS, INC.",9
Computer Sciences Applications,2
COMPUTER SERVANTS,2
Computer Sonics Inc,2
Computer Source,1
"Computer Sports Medicine, Inc.",2
Computer Systems Development,4
Computer Technology Associates,15
"COMPUTER TECHNOLOGY ASSOCIATES, INC.",11
Computer Thought Corp,1
Computer Tool &amp; Die Systems In,1
"Computer Visioin Group, Inc",1
"Computerist, Inc.",1
Computerized Functional,1
Computerized Health Evaluation,1
"COMPUTERIZED IMAGING REFERENCE SYSTEMS, INC.",1
"Computerized Medical Systems, Inc.",2
COMPUTERIZED SCREENING INC,3
Computerland,3
Computers And Concepts Associa,3
Computers In Psychiatry/,4
"Computherm, LLC",19
Computing Technologies Intl,1
Compx,1
Comsis Corp.,11
Comstock Inc,4
Comtech Communication,2
Comtech Corp,1
Comtek,1
Con-solve Inc.,4
Conagen Inc.,1
CONAIT LLC,1
CONARD-PYLE CO. THE,1
Conaway Inc,1
Conax Buffalo Corp.,4
Conax-florida Corp,2
"CONCARLO HOLDINGS, LLC",1
CONCENTRIC-MEDICAL,1
Concentris Systems LLC,10
"Concept &amp; Design, Inc.",1
Concept Analysis Corp,6
Concept Development Assoc,2
Concept Engineering,2
"Concept Engineering Group,",1
Concept Technology,1
"Concepts Beyond, LLC",1
"Concepts NREC, LLC",66
CONCEPTS RESEARCH CORP.,3
Concepts to Systems Inc.,8
CONCEPTUA MATH LLC,1
"CONCEPTUAL ARTS, INC.",1
CONCEPTUAL HEALTH SOLUTIONS,1
"CONCEPTUAL MINDWORKS, INC.",10
CONCEPTUAL RESEARCH CORP,1
Conceptual Systems &amp; Software Inc,16
Concha Inc.,1
"Concord Analysis, Inc.",2
Concord Assocs Inc,1
"Concord Science &amp; Technology,",1
CONCORD TECHNOLOGIES INC,1
"Concordance Health Solutions, Inc.",3
CONCORDANT RATER SYSTEMS,2
CONCORDE BATTERY CORP.,5
Concrete Sciences Corporation,3
"Concrete Solutions, Inc.",1
Concurrent Analysis Corporation,1
"Concurrent Analytical, Inc.",5
"CONCURRENT ELECTRONIC DESIGN AUTOMATION, LLC",1
"CONCURRENT SOLUTIONS, LLC",1
CONCURRENT WIRELESS,1
Condar Company,1
"CONDAX, LLC",7
"Condor Systems, Inc.",3
CONDUCTING MATERIALS CORP.,10
"Conductive Composites Company, L.L.C.",20
"Conductive Composites Tech,inc",2
"CONDUCTUS, INC.",57
"Conectric Networks, LLC",1
CoNextions,1
Conexus Inc.,3
Conflict Kinetics,2
"CONFLUENCE LIFE SCIENCES, INC.",4
CONFLUENCY LLC,1
"Confluera, Inc.",1
"CONFOMETRX, INC.",10
CONFORMAL TECHNOLOGIES,2
CONFORMATIONAL SEARCH SOLUTIONS,2
Congdon &amp; Weller Nursery Inc,1
CONIFER POINT PHARMACEUTICALS LLC ,3
"CONJUGON, INC.",4
Conley Engineering Inc.,1
Connect,1
"CONNECT DYNAMICS, INC.",1
Connected Wise LLC,2
Connecticut Analytical Corporation,27
Connecticut Area,1
"Connecting Health Innovations, LLC",3
"CONNECTIVE ORTHOPAEDICS, INC.",1
Connectsix LLC,1
CONNORA TECHNOLOGIES ,2
"CONOVATE, INC.",3
"Conox, LLC",1
CONPROCO CORP.,1
"Conquest Software, Inc.",3
Conrad Farms,1
"Conrad Technologies, Inc.",10
Conrex Pharmaceutical Corp,1
Consad Research Corp.,2
Consegna Pharma Inc.,3
CONSENSUS NETWORKS INC.,4
"CONSENSUS PHARMACEUTICALS, INC.",8
"Conservation Seeding and Restoration, Inc.",1
"Conservation X Labs, PBC",1
"CONSERVOCARE, LLC",1
"Consolidated Engineers and Materials Testing, Inc.",3
Consolidated Industrial Assoc.,2
CONSOLIDATED RESOURCE IMAGING LLC,1
"Consolidated Technical Services, Inc.",1
CONSORTIEX INC.,2
"Constellation Data Systems, Inc.",1
"Constellation Labs, LLC",2
Constellation Technology,19
"Construction Robotics, LLC",2
Construction Technology,3
"Constructive Solutions, Inc.",4
"Construkts, Inc.",1
Consul Systems LLC,1
Consultants for Environmental System Technologies,6
CONSULTANTS IN BEHAVIORAL RESEARCH,9
Consultants In Engineering Acoustics,1
Consultare Group Inc.,1
Consultec Scientific,19
Consulting Aviation Services,1
"CONSULTING NETWORK, INC., THE",5
"CONTACT CONTROL INTERFACES, LLC",2
"CONTAINED ENERGY, LLC",1
"Containerless Research, Inc.",31
Contamination Studies,2
"Contech Medical, Inc.",2
"Contect, Inc.",1
"Contek Research, Inc.",1
CONTEMPORARY DEVICES COMPANY,1
"CONTEXT FUSION, LLC",1
Context Therapeutics,1
"CONTEXTUAL CHANGE, LLC",3
"Contextualize, LLC",1
"CONTINENTAL CONTROLS AND DESIGN, INC.",44
Continental Optical Corp.,2
Continental Shelf Assocs Inc.,1
Continental Systems Technology,3
"Contingency Software, Inc.",1
"CONTINUEYOU, LLC",2
"CONTINUITY PHARMA, LLC",1
Continuous Composites Inc.,1
"Continuous Molding, Inc.",1
Continuous Solutions LLC,8
Continuum,2
"Continuum Analytics, Inc.",3
CONTINUUM CONTROL CORP.,3
CONTINUUM DYNAMICS INC,251
"CONTINUUM SPACE SYSTEMS, INC.",1
"Continuus Pharmaceuticals, Inc.",2
"CONTOUR MOLECULAR, LLC",1
"CONTOX, LTD",1
"Contract Cloud, Inc.",1
"CONTRADYN, INC.",1
"CONTRAST OPTICAL DESIGN &amp; ENGINEERING, INC.",1
"Contrast Security, Inc.",1
"CONTRAVAC, INC.",3
"CONTROL APPLICATIONS, INC.",1
"Control Delivery Systems, Inc.",9
Control Dynamics Company,1
Control One LLC,1
CONTROL POWER CO.,1
Control Systems Engineering,1
"CONTROL SYSTEMS RESEARCH, INC.",8
Control Techtronics Inc,2
"Control Vision, Inc.",15
Control-X LLC,2
Controlex Corporation,7
CONTROLLED DYNAMICS INC,11
"CONTROLLED PROCESS TECHNOLOGIES, LLC",1
"CONTROLS RESEARCH, INC.",1
Controlsoft Inc,1
"Converge Biotech, Inc.",1
CONVERGENCE ENGINEERING CORP.,2
CONVERGENT ENGINEERING INC,8
"Convergent Genomics, Inc.",3
Convergent Manufacturing Technologies US Inc.,9
"CONVERGENT MODELING, INC.",1
"CONVERGENT SCIENCE, INC.",1
CONVERGENT SOLUTIONS,2
CONVERGEWARE DESIGN SOLUTIONS LLC,1
Converging Technologies Inc.,2
CONVERSION ENERGY ENTERPRISES,10
Converspeech LLC,3
CONVERTER SOURCE LLC,5
"Converter Technology, Inc.",3
Convolve Inc.,4
Conway Enterprises,1
CONWAY MEDICAL LLC,1
"Cook&#039;s Advanced Energy Conversion, LLC",2
"Cook, Ashton Robinson",1
Cooke Pharm,2
"Cool Earth Solar, Inc.",2
"Cool Energy, Inc.",5
Cool Queen,1
"COOLBUCK, INC.",1
"CoolCAD Electronics, LLC",31
CoolChip Technologies,1
"COOLCOMPOSITES, INC.",1
"COOLER HEADS CARE, INC.",1
Cooley Inc,1
COOLSPINE LLC,2
"Coolwater Aquaculture, LLC",4
Cooper Computer Services,1
"Cooper Environmental Services, LLC",2
Cooperating Systems Corp,2
"COORDINATED PROGRAM DEVELOPMENT, LLC",1
"Copernican Energy, Inc.",2
"Copernicus Gene Systems, Ltd",1
"COPERNICUS THERAPEUTICS, INC.",3
"COPING STEPS, LLC",1
Copious Imaging LLC,4
"CoPlex Therapeutics, LLC",3
Copley Pharmaceutical Inc,3
Coprime,1
Coprocessor Corporation,4
Coquille Economic Development,1
Cor Habere Corp.,1
"COR Innovations, Inc",1
"COR THERAPEUTICS, INC.",13
"Coral Genomics, Inc.",3
CORAM TECHNOLOGIES INC,1
CORAMED TECHNOLOGIES,3
CORAMI LLC,1
"CORAMIR BIOMEDICAL, INC.",1
CORASCLOUD INC,2
"CORCORAN ENGINEERING, INC.",14
"Cord Blood Plus, Inc.",1
Cordance Medical Inc.,2
CORDEC CORP.,19
"Cordillera Applications Group, Inc.",1
"CORDYNAMICS, INC.",1
"Core 12, LLC",1
Core Cast LLC ,1
"Core Devices, Inc.",1
"CORE LEARNING EXCHANGE, INC.",1
"Core MicroSolutions, Inc.",6
"Core Parts, LLC",8
Core Quantum Technologies,3
"CORE TECH SOLUTIONS, INC.",2
Coreform LLC,18
"Coreless Technologies, Inc.",1
CORELIGHT INC.,2
"CoreMap, Inc.",1
"Corengi, Inc.",1
"COREPOWER MAGNETICS, INC.",3
"Coreshell Technologies, Incorporated",3
CORESYTE INC,1
"CORETEK, INC.",17
CORGENIX MEDICAL CORPORATION,2
"Coridea, LLC",12
"CORIMBIA, INC.",1
CorInnova Incorporated,5
"CORINNOVA, INC.",2
CORIOLIS CORPORATION,2
Corion Technologies Inc,1
Corium Industries Inc,1
CORIXA CORPORATION,21
Corley Manufacturing Co,1
CorMedix Inc.,1
Corn-Chem International,1
Cornerstone Genomics LLC,2
"CORNERSTONE PARTNERS, LLC",1
CORNERSTONE PHARMACEUTICALS,2
"Cornerstone Research Group, Incorporated",317
"Cornerstone Software Solutions, Inc",3
"CORNERTURN, LLC",6
CORNOVUS PHARMACEUTICALS INC. ,2
Corona Catalysis Corp,4
Corp.orate Advanced Design &amp;,1
Corp.orate Health Policies,1
Corpdray Research Inc.,3
Corpe Corp.,1
Corpe Technologies Inc.,1
"Corpetek, Inc.",17
Corpiolis Corp.,4
Corpitechs Inc.,2
Corpium Industries Inc.,2
Corpixa Corp.,14
"Corpomed, Inc.",2
"CORPORA SYSTEMS, INC.",6
"Corporate Computer Services, Inc.",3
CORPORATE GAMEWARE LLC,2
Corptana Corp,1
Corptech Inc.,2
"Corptechs, Inc.",1
Corpteks Inc.,9
Corpticon Inc.,3
Corptland Cable Company,4
"Corrdesa, LLC",15
"CORRELAGEN DIAGNOSTICS, INC.",1
Correlated Magnetics Research,3
"Correlated Solutions, Inc.",5
Correlations Company,5
"CORRELIA BIOSYSTEMS, INC.",3
CORRENT CORP.,2
"Corridor Training Systems, Inc.",1
"Corrosion Prognostics, LLC",2
Corrosion Testing Labs Inc,1
Corsair Innovations Incorporated,1
CORSAIR TECHNICAL SERVICES INC.,1
CORSHA INC,2
"CORSOLUTIONS, LLC",4
CORTANA CORPORATION,9
CORTEC CORP.,2
"Cortechs Labs, Inc.",22
Cortera Neurotechnologies,1
Cortest Laboratories Inc,1
Cortex Pharmaceuticals Inc.,1
"CORTEX PHARMACEUTICALS, INC.",8
CORTICOMETRICS LLC,10
Cortix Systems,2
Cortland Cable Company,1
"CorTrol Services, Ltd.",2
Corum Medical,2
"CORUMAT, INC.",5
Coruna Medical LLC,1
Corvas Inc,9
"CORVAS INTERNATIONAL, INC.",5
Corvid Innovation LLC,8
Corvid Technologies LLC,147
"Corvus Robotics, Inc.",1
Cory Laboratories Inc,1
"CORYPHAEUS SOFTWARE, INC.",3
"COSM Advanced Manufacturing Systems, LLC",3
"Cosmas, Inc.",3
Cosmic,1
"Cosmic Advanced Engineered Solutions, Inc.",1
Cosmic Advanced Engineering Solutions Inc,2
"Cosmic Microwave Technology, Inc.",2
COSMIC SHIELDING CORPORATION,1
COSMIC TECHNOLOGIES CORPORATION,3
COSMID CORP,1
Cosmos Commodity,1
"COSMOSID, INC.",2
"Cosoft Designs, Inc.",2
Cost Management Systems,1
"COSTELLO PHARMACEUTICAL, LLC",2
COSTVISION,8
Cosworth LLC,1
"COTTLER TECHNOLOGIES, LLC",3
"Cougaar Software, Inc.",10
"COULTER ASSOCIATES, INC.",7
Counseling &amp; Consulting,1
"CounterStorm, Inc. (formally System Detection, Inc.)",2
Countervail Corporation ,3
COURAGE THERAPEUTICS INC,2
Couragion Corporation ,2
Courier Therapeutics Inc,1
"Course Six, Inc.",1
Courseload,1
"COURTAGEN LIFE SCIENCES, INC.",1
Cousino Metal Products Inc.,3
"COUTURE TECHNOLOGIES, LLC",1
"Cova Strategies, LLC",1
"COVA TECHNOLOGIES, INC.",6
"COVALENT ASSOC., INC.",88
COVALENT BIOSCIENCE INCORPORATED,1
"COVALENT IMMUNOLOGY PRODUCTS, INC.",1
Covalent LLC ,7
"Covalent Solar, Inc.",1
Covalent Technology Corp.,3
"Covar Applied Technologies, Inc.",7
"COVARIS, INC.",9
Covaron Inc.,1
"COVEGA, INC.",4
Covenant Aquaculture Corp,1
Covenant Therapeutics LLC,3
"COVENTRY ASSOCIATES, INC.",3
Coverity Inc.,2
"Covia Labs, Inc.",1
Covid Cough Inc,1
Covitect Inc.,2
"Covofinish Co., Inc.",3
Covox Inc,1
"Cox &amp; Company, Inc.",7
Coyote Aerospace/high Mesa,1
CP-Instruments LLC,1
Cpacket Networks Inc.,2
"Cpfd Software, Llc",1
"CPG, INC.",1
CPI GROUP LIMITED,1
"CPM SYSTEMS, INC.",11
CPR Tools Inc.,1
Cps Superconductor Corp.,1
"CPU TECHNOLOGY, INC.",11
Cpy Consulting,3
Cq Inc.,1
Crab Raft Inc,2
"Cradle Genomics, Inc.",4
CRAFT AEROSPACE TECHNOLOGIES INC,2
"Craft Artisan Design, Inc.",1
"CRAFT ENGINEERING ASSOC., INC.",6
"Craft Technologies, Inc.",3
CRAFTELL POWER SOURCES LLC,1
Craig Development Corp,4
"CRANIAL TECHNOLOGIES, INC.",1
"CRANIOTECH ACR DEVICES, LLC",1
Crave.io Inc.,1
"Crawdad Technologies, L.L.C.",2
Crc-evans Pipeline Internation,2
CRCL SOLUTIONS LLC,1
"CRE, INC.",4
CREARE LLC,1283
"CREATEABILITY CONCEPTS, INC.",26
"Creathadh Energies, LLC",1
Creatibility Concepts,5
Creative Action LLC,17
CREATIVE AERO ENGINEERING SOLUTIONS INC.,3
"Creative Applied Technical Systems, Inc.",2
Creative Associates Intl Inc.,2
"Creative Bio-Peptides, Inc.",5
"CREATIVE BIOMOLECULES, INC.",11
Creative Bioreactor Designs Inc.,1
Creative BioTherapeutics LLC,1
Creative Electron Inc.,10
CREATIVE ENERGY CONCEPTS,1
"CREATIVE ENERGY SOLUTIONS, INC.",2
Creative Engineering Solutions Inc.,2
Creative Enterprises,8
Creative Health Services,1
